p,n,notes
<http://id.loc.gov/vocabulary/relators/aut>,954318,
dc11:date,15082,
dcterms:bibliographicCitation,15026,
bibo:doi,5100,
dcterms:title,4264,
dcterms:subject,1507,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,1445,
dc11:subject,1077,
<http://www.abes.fr/vocabularies/sudoc/holdingsCount>,609,
<http://rdaregistry.info/Elements/m/P30135>,267,
dcterms:language,115,
skos:prefLabel,113,
dc11:title,113,
<http://rdaregistry.info/Elements/w/P10219>,113,
rdau:P60049,111,
dc11:type,111,
<http://iflastandards.info/ns/isbd/elements/P1001>,111,
<http://id.loc.gov/vocabulary/relators/trl>,76,
skos:altLabel,62,
<http://id.loc.gov/vocabulary/relators/edt>,52,
<http://id.loc.gov/vocabulary/relators/ths>,47,
<http://id.loc.gov/vocabulary/relators/dgg>,45,
skos:note,33,
owl:sameAs,27,
<http://id.loc.gov/vocabulary/relators/pbd>,25,
dcterms:created,24,
<http://id.loc.gov/vocabulary/relators/aui>,22,
dcterms:spatial,20,
dcterms:temporal,14,
<http://id.loc.gov/vocabulary/relators/opn>,10,
<http://id.loc.gov/vocabulary/relators/orm>,9,
<http://id.loc.gov/vocabulary/relators/fmo>,8,
<http://www.abes.fr/vocabularies/theses/roles/985>,8,
<http://id.loc.gov/vocabulary/relators/pra>,5,
<http://id.loc.gov/vocabulary/relators/ill>,4,
<http://www.abes.fr/vocabularies/theses/roles/995>,4,
<http://www.abes.fr/vocabularies/theses/roles/958>,3,
<http://id.loc.gov/vocabulary/relators/com>,3,
<http://id.loc.gov/vocabulary/relators/pht>,3,
dcterms:contributor,2,
<http://id.loc.gov/vocabulary/relators/isb>,2,
<http://id.loc.gov/vocabulary/relators/drt>,2,
<http://id.loc.gov/vocabulary/relators/aft>,2,
<http://id.loc.gov/vocabulary/relators/dnr>,2,
<http://www.abes.fr/vocabularies/theses/roles/981>,1,
<http://www.abes.fr/vocabularies/theses/roles/996>,1,
<http://id.loc.gov/vocabulary/relators/clb>,1,
<http://id.loc.gov/vocabulary/relators/dte>,1,
