p,n,notes
<http://id.loc.gov/vocabulary/relators/aut>,94297,
<http://id.loc.gov/vocabulary/relators/pbd>,4506,"publisher director ( editors-in-chief, literary editors, editors of series, etc.)"
<http://id.loc.gov/vocabulary/relators/ths>,4389,thesis advisor
foaf:primaryTopic,3978,
<http://id.loc.gov/vocabulary/relators/edt>,3453,"editor (contributing to a resource by revising or elucidating the content, e.g., adding an introduction, preparing the publication, etc.)"
dcterms:subject,2386,
<http://id.loc.gov/vocabulary/relators/opn>,1686,opponent (person or organization responsible for opposing a thesis or dissertation)
owl:sameAs,1545,
<http://www.abes.fr/vocabularies/theses/roles/958>,1230,
<http://id.loc.gov/vocabulary/relators/pra>,998,
<http://id.loc.gov/vocabulary/relators/clb>,648,
<http://id.loc.gov/vocabulary/relators/aui>,647,
<http://id.loc.gov/vocabulary/relators/rcp>,426,
<http://id.loc.gov/vocabulary/relators/trl>,379,
dcterms:contributor,302,
<http://id.loc.gov/vocabulary/relators/fmo>,266,
<http://id.loc.gov/vocabulary/relators/ctb>,256,
<http://id.loc.gov/vocabulary/relators/ctg>,63,
<http://id.loc.gov/vocabulary/relators/sec>,55,
<http://id.loc.gov/vocabulary/relators/drt>,45,
<http://id.loc.gov/vocabulary/relators/ill>,33,
<http://id.loc.gov/vocabulary/relators/dnr>,33,
<http://id.loc.gov/vocabulary/relators/dte>,31,
<http://id.loc.gov/vocabulary/relators/ive>,29,
<http://id.loc.gov/vocabulary/relators/ant>,27,
<http://id.loc.gov/vocabulary/relators/com>,27,
<http://id.loc.gov/vocabulary/relators/orm>,26,
<http://id.loc.gov/vocabulary/relators/sad>,26,
<http://id.loc.gov/vocabulary/relators/adp>,17,
<http://id.loc.gov/vocabulary/relators/aft>,16,
<http://www.w3.org/2000/01/rdf-schema#seeAlso>,11,
<http://id.loc.gov/vocabulary/relators/pht>,11,
<http://id.loc.gov/vocabulary/relators/ins>,8,
<http://id.loc.gov/vocabulary/relators/dto>,6,
<http://id.loc.gov/vocabulary/relators/dub>,6,
<http://id.loc.gov/vocabulary/relators/cmm>,6,
<http://id.loc.gov/vocabulary/relators/cwt>,5,
<http://id.loc.gov/vocabulary/relators/aqt>,5,
<http://id.loc.gov/vocabulary/relators/pbl>,5,
<http://id.loc.gov/vocabulary/relators/asn>,5,
<http://id.loc.gov/vocabulary/relators/ccp>,4,
<http://id.loc.gov/vocabulary/relators/cur>,4,
<http://id.loc.gov/vocabulary/relators/egr>,4,
<http://id.loc.gov/vocabulary/relators/dgc>,4,
<http://id.loc.gov/vocabulary/relators/cmp>,4,
<http://id.loc.gov/vocabulary/relators/sce>,3,
<http://id.loc.gov/vocabulary/relators/cnd>,3,
<http://id.loc.gov/vocabulary/relators/art>,3,
<http//id.loc.gov/vocabulary/relators/aut>,3,
<http://id.loc.gov/vocabulary/relators/flm>,3,
<http://id.loc.gov/vocabulary/relators/ann>,3,
<http://id.loc.gov/vocabulary/relators/act>,2,
<http://id.loc.gov/vocabulary/relators/osp>,2,
<http://id.loc.gov/vocabulary/relators/nrt>,2,
<http://id.loc.gov/vocabulary/relators/ltg>,2,
<http://id.loc.gov/vocabulary/relators/scr>,2,
<http://id.loc.gov/vocabulary/relators/org>,2,
<http://id.loc.gov/vocabulary/relators/ivr>,2,
<http://id.loc.gov/vocabulary/relators/csp>,2,
<http://id.loc.gov/vocabulary/relators/etr>,1,
<http://id.loc.gov/vocabulary/relators/grt>,1,
<http://id.loc.gov/vocabulary/relators/ilu>,1,
<http://id.loc.gov/vocabulary/relators/prg>,1,
<http://id.loc.gov/vocabulary/relators/res>,1,
<http://id.loc.gov/vocabulary/relators/pfr>,1,
<http://id.loc.gov/vocabulary/relators/rth>,1,
<http://id.loc.gov/vocabulary/relators/fon>,1,
