p,propLabel,effectif,
wdt:P106,occupation,60819,
wdt:P166,award received,39176,A regarder
wdt:P569,date of birth,29031,
wdt:P735,given name,28460,
wdt:P31,instance of,28358,
wdt:P21,sex or gender,28074,
wdt:P27,country of citizenship,27634,En cours
wdt:P108,employer,27381,A regarder
wdt:P101,field of work,26709,A regarder
wdt:P69,educated at,26607,Vérifier types d'école
wdt:P214,VIAF cluster ID,23412,
wdt:P19,place of birth,21285,
wdt:P463,member of,20746,A regarder
wdt:P570,date of death,20545,
wdt:P1412,languages spoken written or signed,19534,
wdt:P734,family name,19249,
wdt:P185,doctoral student,18739,A regarder
wdt:P213,ISNI,17847,
wdt:P1343,described by source,16294,
wdt:P10832,WorldCat Entities ID,14727,
wdt:P227,GND ID,14678,
wdt:P244,Library of Congress authority ID,14203,Regarder; API
wdt:P20,place of death,13517,
wdt:P269,IdRef ID,12682,
wdt:P1207,NUKAT ID,12134,
wdt:P2671,Google Knowledge Graph ID,9983,
wdt:P646,Freebase ID,9965,
wdt:P691,NL CR AUT ID,9638,
wdt:P1006,Nationale Thesaurus voor Auteursnamen ID,9523,
wdt:P8189,J9U ID,9302,
wdt:P18,image,8471,
wdt:P6104,maintained by WikiProject,7048,
wdt:P1556,zbMATH author ID,7033,
wdt:P3368,Prabook ID,6993,
wdt:P7902,Deutsche Biographie (GND) ID,6884,
wdt:P268,Bibliothèque nationale de France ID,6816,
wdt:P373,Commons category,6808,
wdt:P13049,DDB person (GND) ID,6272,
wdt:P9964,Kalliope-Verbund (GND) ID,6247,
wdt:P184,doctoral advisor,6074,
wdt:P1559,name in native language,5866,
wdt:P3987,SHARE Catalogue author ID,5576,
wdt:P512,academic degree,5493,Noter mais largement incomplet
wdt:P2163,FAST ID,5121,
wdt:P1015,NORAF ID,4965,
wdt:P7293,National Library of Poland Descriptor,4713,
wdt:P11496,CiNii Research ID,4662,
wdt:P271,NACSIS-CAT author ID,4619,
wdt:P549,Mathematics Genealogy Project ID,4353,
wdt:P648,Open Library ID,3715,
wdt:P937,work location,3665,
wdt:P119,place of burial,3602,
wdt:P3430,SNAC ARK ID,3504,
wdt:P39,position held,3429,
wdt:P3065,RERO ID (legacy),3359,
wdt:P973,described at URL,3219,
wdt:P2381,Academic Tree ID,3004,
wdt:P2600,Geni.com profile ID,2978,
wdt:P40,child,2788,
wdt:P4955,MR Author ID,2733,
wdt:P1153,Scopus author ID,2577,
wdt:P1280,CONOR.SI ID,2450,
wdt:P8880,AstroGen ID,2324,
wdt:P1368,National Library of Latvia ID,2283,
wdt:P800,notable work,2219,
wdt:P409,Libraries Australia ID,2159,
wdt:P396,SBN author ID,2153,
wdt:P8168,FactGrid item ID,2129,
wdt:P3365,Treccani ID,2126,
wdt:P1871,CERL Thesaurus ID,2121,
wdt:P1315,NLA Trove people ID,2114,
wdt:P8179,Canadiana Name Authority ID,2039,
wdt:P11249,KBR person ID,2009,
wdt:P802,student,1938,
wdt:P2949,WikiTree person ID,1929,
wdt:P12458,Parsifal cluster ID,1910,
wdt:P1417,Encyclopædia Britannica Online ID,1901,
wdt:P22,father,1884,
wdt:P349,NDL Authority ID,1878,
wdt:P26,spouse,1743,
wdt:P8947,Museo Galileo authority ID,1702,
wdt:P3373,sibling,1692,
wdt:P7305,Online PWN Encyclopedia ID,1666,
wdt:P103,native language,1660,
wdt:P6886,writing language,1608,
wdt:P535,Find a Grave memorial ID,1601,
wdt:P5019,Brockhaus Enzyklopädie online ID,1577,
wdt:P9984,CANTIC ID,1562,
wdt:P11686,University of Barcelona authority ID,1488,
wdt:P551,residence,1474,
wdt:P803,professorship,1459,
wdt:P950,National Library of Spain ID,1438,
wdt:P3222,NE.se ID,1431,
wdt:P5587,Libris-URI,1409,
wdt:P496,ORCID iD,1408,
wdt:P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,1405,
wdt:P906,SELIBR ID,1394,
wdt:P9626,Biographical Encyclopedia of Astronomers ID,1393,
wdt:P1296,Gran Enciclopèdia Catalana ID (former scheme),1368,
wdt:P12385,Gran Enciclopèdia Catalana ID,1366,
wdt:P1695,NLP ID (old),1361,
wdt:P949,National Library of Israel ID (old),1335,
wdt:P7982,Hrvatska enciklopedija ID,1311,
wdt:P1066,student of,1272,
wdt:P1580,University of Barcelona authority ID (former scheme),1267,
wdt:P4252,All-Russian Mathematical Portal ID,1261,
wdt:P1477,birth name,1260,
wdt:P5380,National Academy of Sciences member ID,1257,
wdt:P7699,National Library of Lithuania ID,1250,
wdt:P3360,Nobel Prize People Nomination ID,1234,
wdt:P5008,on focus list of Wikimedia project,1232,
wdt:P6178,Dimensions author ID,1232,
wdt:P8313,Lex ID,1222,
wdt:P2930,INSPIRE-HEP author ID,1192,
wdt:P3348,National Library of Greece ID,1175,
wdt:P1263,Notable Names Database,1161,
wdt:P6551,Physics History Network ID,1139,
wdt:P102,member of political party,1132,
wdt:P1273,CANTIC ID (former scheme),1132,
wdt:P8034,Vatican Library VcBA ID,1129,
wdt:P509,cause of death,1117,
wdt:P11514,Great Russian Encyclopedia portal ID,1103,
wdt:P1442,image of grave,1081,
wdt:P1889,different from,1076,
wdt:P12582,Oxford Reference overview ID,1042,
wdt:P1196,manner of death,971,
wdt:P6821,Alvin ID,968,
wdt:P6706,De Agostini ID,939,
wdt:P10242,Lur Encyclopedic Dictionary ID,936,
wdt:P7666,Visuotinė lietuvių enciklopedija ID,930,
wdt:P2924,Great Russian Encyclopedia Online ID (old version),925,
wdt:P3219,Encyclopædia Universalis ID,923,
wdt:P1375,NSK ID,922,
wdt:P3762,openMLOL author ID,921,
wdt:P1411,nominated for,918,
wdt:P10553,IxTheo authority ID,914,
wdt:P5034,National Library of Korea ID,910,
wdt:P6594,Guggenheim fellows ID,898,
wdt:P1415,Oxford Dictionary of National Biography ID,896,
wdt:P10565,Encyclopedia of China (Third Edition) ID,882,
wdt:P485,archives at,848,
wdt:P9467,IAU member ID,844,
wdt:P3029,UK National Archives ID,831,
wdt:P10299,Leopoldina member ID (new),830,
wdt:P12597,museum-digital person ID,828,
wdt:P1005,Portuguese National Library author ID,816,
wdt:P140,religion or worldview,802,
wdt:P910,topic's main category,799,
wdt:P7865,CoBiS author ID,798,
wdt:P5361,BNB person ID,794,
wdt:P3413,Leopoldina member ID (superseded),792,
wdt:P8349,Proleksis enciklopedija ID,789,
wdt:P10033,Biografija.ru ID,764,
wdt:P856,official website,739,
wdt:P1038,relative,737,
wdt:P1960,Google Scholar author ID,721,
wdt:P9044,GEPRIS Historisch person ID,715,
wdt:P9918,Kallías ID,709,
wdt:P9160,Biographical Dictionary of the Czech Lands ID,707,
wdt:P1284,Munzinger person ID,697,
wdt:P25,mother,689,
wdt:P1344,participant in,689,
wdt:P1563,MacTutor biography ID,687,
wdt:P9037,BHCL UUID,681,
wdt:P6385,Krugosvet article,680,
wdt:P4223,Treccani's Enciclopedia Italiana ID,673,
wdt:P7763,copyright status as a creator,646,
wdt:P1017,Vatican Library ID (former scheme),636,
wdt:P2383,CTHS person ID,631,
wdt:P10704,Biographical Memoirs of Fellows of the Royal Society ID,628,
wdt:P8826,edition humboldt digital ID,625,
wdt:P8612,past Fellow of the Royal Society ID,622,
wdt:P10227,National Library of Ireland ID,616,
wdt:P8851,CONOR.SR ID,606,
wdt:P607,conflict,598,
wdt:P5739,Pontificia Università della Santa Croce ID,594,
wdt:P109,signature,583,
wdt:P4823,American National Biography ID,582,
wdt:P4081,BHL creator ID,570,
wdt:P3124,Polish scientist ID,554,
wdt:P1816,National Portrait Gallery (London) person ID,539,
wdt:P6844,abART person ID,526,
wdt:P8914,ZOBODAT person ID,496,
wdt:P6394,ELNET ID,485,
wdt:P1814,name in kana,481,
wdt:P1185,Rodovid ID,475,
wdt:P8496,Archive Site Trinity College Cambridge ID,466,
wdt:P7029,National Library of Russia ID,461,
wdt:P8849,CONOR.BG ID,456,
wdt:P935,Commons gallery,454,
wdt:P8024,Nobel Laureate API ID,447,
wdt:P8153,Accademia delle Scienze di Torino ID,446,
wdt:P737,influenced by,438,
wdt:P9807,SNK ID,434,
wdt:P6379,has works in the collection,426,
wdt:P3973,PIM authority ID,422,
wdt:P2021,Erdős number,420,
wdt:P5731,Angelicum ID,420,
wdt:P3630,Babelio author ID,417,
wdt:P8172,Sejm-Wielki.pl profile ID,417,
wdt:P2456,DBLP author ID,415,
wdt:P640,Léonore ID,411,
wdt:P10480,symogih.org ID,411,
wdt:P1472,Commons Creator page,410,
wdt:P6194,Austrian Biographical Encyclopedia ID,395,
wdt:P9058,Fichier des personnes décédées ID (matchID),393,
wdt:P11152,Léonore Web ID,388,
wdt:P5463,AE member ID,381,
wdt:P1233,Internet Speculative Fiction Database author ID,380,
wdt:P7369,National Library of Chile ID,375,
wdt:P2038,ResearchGate profile ID,370,
wdt:P9371,FranceArchives agent ID,369,
wdt:P4619,National Library of Brazil ID,368,
wdt:P5375,BIU Santé person ID,367,
wdt:P3417,Quora topic ID,359,
wdt:P345,IMDb ID,350,
wdt:P4590,Atomic Heritage Foundation ID,348,
wdt:P1026,academic thesis,342,
wdt:P4293,PM20 folder ID,337,
wdt:P4613,Encyclopedia of Modern Ukraine ID,334,
wdt:P1938,Project Gutenberg author ID,331,
wdt:P5063,Interlingual Index ID,331,
wdt:P2650,interested in,327,
wdt:P3154,Runeberg author ID,324,
wdt:P1986,Treccani's Biographical Dictionary of Italian People ID,322,
wdt:P4215,nLab ID,322,
wdt:P2454,KNAW past member ID,318,
wdt:P2734,Unz Review author ID,314,
wdt:P2889,FamilySearch person ID,311,
wdt:P3074,Grace's Guide ID,311,
wdt:P434,MusicBrainz artist ID,305,
wdt:P2732,Persée author ID,304,
wdt:P11182,UOM ID,304,
wdt:P241,military branch,294,
wdt:P2070,Fellow of the Royal Society ID,290,
wdt:P3919,contributed to creative work,290,
wdt:P1053,ResearcherID,288,
wdt:P4629,Online Books Page author ID,282,
wdt:P1801,plaque image,279,
wdt:P12483,PMB – Personen der Moderne Basis person ID,279,
